Name,Type,Lucee,BoxLang,RustCFML Impl,RustCFML Test,Example Code,Expected Output
cftimer,tag,Yes,?,❌,❌,"<cftimer label=""Nap time"" type=""inline"">
Begin some long running process ...
<cfset sleep(2000)>
done.
</cftimer>",The time elapsed while executing the code inside the <cftimer> block should be displayed inline.
cftrace,tag,Yes,?,❌,❌,N/A,N/A
cftransaction,tag,Yes,?,✅,✅,"
transaction { 
 try { 
 // code to run 
 transaction action=""commit""; 
 } 
 catch(any e) { 
  transaction action=""rollback""; 
  } 
 }",
cftry,tag,Yes,?,✅,✅,"try {
    x = 5/0;
}
catch (any e) {
    writeOutput(""Error: "" & e.message);
}",Error: Division by zero.
cfupdate,tag,Yes,?,❌,❌,"cfupdate( datasource=""myDsn"", tablename=""users"", formFields=""userId,firstName,lastName,emailAddress"" );",
cfusion_decrypt,function,Yes,❌,❌,❌,N/A,N/A
cfusion_encrypt,function,Yes,❌,❌,❌,N/A,N/A
cfwddx,tag,Yes,?,❌,❌,"<cfset local.FileContents = FileRead(""D:/ColdFusion/#Instance#/lib/neo-cron.xml"") />
						<cfwddx action=""wddx2cfml"" input=""#local.FileContents#"" out",Dump of the Scheduled Tasks cron file stored in the local.structFileContents variable
cfwhile,tag,Yes,?,❌,❌,"<cfset x = 0/>
<cfwhile condition=""#x LT 5#"">
  <cfoutput>#x#</cfoutput>
  <cfset x = x + 1/>
</cfwhile>",0 1 2 3 4
cfxml,tag,Yes,?,❌,❌,"cfxml( variable=""myXml"" ) {
 writeOutput( '<?xml version=""1.0""?><catalog><song id=""1""><artist>Astley, Rick</artist><title>Never Gonna Give You Up</ti",
cfzip,tag,Yes,?,✅,✅,"<cfzip action=""unzip"" destination=""#getTempDirectory()#"" file=""#zipFilePath#"">",
cfzipparam,tag,Yes,?,❌,❌,"var fileList = directoryList(expandPath('/'), false, 'path', '*.jpg');

cfzip( file = 'allJPGs.zip' ) {
  fileList.each((zipFile)=>{
    cfzipparam( s",
charsetdecode,function,Yes,✅,✅,✅,"charsetDecode('string','utf-8');",[BINARY]
charsetencode,function,Yes,✅,✅,✅,"s=charsetDecode('string','utf-8');
 charsetEncode(s,'utf-8');",string
chr,function,Yes,❌,✅,✅,"x = chr( 8361 ); 
 writeOutput( 'character: #x#' ); 
 x = asc( x ); 
 writeOutput( '<br>Unicode value: #x#');",
cjustify,function,Yes,❌,❌,❌,"<cfset jstring = cJustify(""ColdFusion"", 35)> 
 <cfdump var=""#jstring#"" />   ",
cleartimezone,function,Yes,✅,❌,❌,"setTimeZone(""CET"");
writeOutput(getTimezoneInfo().timezone & ""→ "");
clearTimeZone();
writeOutput(getTimezoneInfo().timezone);",CET→ Etc/UTC
collectioneach,function,Yes,❌,✅,✅,"coll = [{
    id: 0,
    name: 'me'
},{
    id: 1,
    name: 'you'
}];
collectionEach(coll,function(item) {
    writeOutput(item.name);
    w",me - you -
collectionevery,function,Yes,❌,✅,✅,N/A,N/A
collectionfilter,function,Yes,❌,✅,✅,"coll = [{
    id: 0,
    type: 'mail'
},{
    id: 1,
    type: 'mail'
},{
    id: 2,
    type: 'comment'
}];
onlyMails = collectionFilter(co","0, 1, "
collectionmap,function,Yes,❌,✅,✅,"coll = [{
    id: 0,
    firstname: 'Arthur',
    name: 'Dent'
},{
    id: 1,
    firstname: 'Harry',
    name: 'Potter'
},{
    id: 2,
    ","Arthur Dent, Harry Potter, Peter Jackson,"
collectionreduce,function,Yes,❌,✅,✅,"coll = [{
    id: 0,
    type: 'apples',
    amount: 25
},{
    id: 1,
    type: 'pinapples',
    amount: 2
},{
    id: 2,
    type: 'peache",40 fruits
collectionsome,function,Yes,❌,✅,✅,N/A,N/A
compare,function,Yes,✅,✅,✅,"<cfset comparison = compare(""ColdFusion"", ""coldfusion"")>
<cfdump var=""#comparison#"" />     ",-1
comparenocase,function,Yes,✅,✅,✅,"<cfset comparison = compareNoCase(""ColdFusion"", ""coldfusion"")>
<cfdump var=""#comparison#"" />",0
componentcacheclear,function,Yes,❌,❌,❌,N/A,N/A
componentcachelist,function,Yes,❌,❌,❌,"<cfset c = componentCacheList() />
<cfdump var=""#c#"" />",struct
componentinfo,function,Yes,❌,❌,❌,N/A,N/A
compress,function,Yes,✅,❌,❌,"compress(""zip"", ""example.txt"", ""output.zip"")",
configimport,function,Yes,❌,❌,❌,"configImport(
	path: expandPath('/config/config.json'),
	type: 'server',
	password: SERVER.system.environment.PASSWORD
);",
contractpath,function,Yes,✅,❌,❌,N/A,N/A
cos,function,Yes,✅,✅,✅,cos(0.3),0.955336489126
createdate,function,Yes,❌,✅,✅,"<cfscript>
	yourDate = createDate(""2015"",""12"",""09"");
	writeOutput(yourDate);
</cfscript>",{ts '2015-12-09 00:00:00'}
createdatetime,function,Yes,✅,✅,✅,"<cfset yourDate = createDateTime(""2015"", ""12"", ""09"", ""6"", ""20"", ""34"")>
<cfdump var=""#yourDate#"" />     ",
createdynamicproxy,function,Yes,✅,❌,❌,"<cfset instance=new cfc.helloWorld()> 
 <cfset dynInstnace = createDynamicProxy(instance, [""MyInterface""])> 
 <cfset x = createObject(""java"",""Invoke",
createguid,function,Yes,✅,✅,✅,createGUID(),
createobject,function,Yes,✅,✅,✅,"<cfscript>
 tellTimeCFC=createObject(""component"",""appResources.components.tellTime""); 
 tellTimeCFC.getLocalTime();
 </cfscript>",
createodbcdate,function,Yes,❌,❌,❌,"<cfset Date = createDate(2012, 12, 12)>
<cfset result = createODBCDate(Date)>
<cfoutput>#result#</cfoutput>",{d '2012-12-12'}
createodbcdatetime,function,Yes,✅,❌,❌,"<cfset Date = createDateTime(2012, 12, 12, 12, 12, 12)>
<cfset result = createODBCDateTime(Date)>
<cfoutput>#result#</cfoutput>",{ts '2012-12-12 12:12:12'}
createodbctime,function,Yes,❌,❌,❌,"<cfset time = createDateTime(2012, 12, 12, 12, 12, 12)>
<cfset result = createODBCTime(time)>
<cfoutput>#result#</cfoutput>",{t '12:12:12'}
createtime,function,Yes,✅,✅,✅,"<cfset yourTime = createTime(""5"", ""24"", ""56"")>  
 <cfdump var=""#yourTime#"" />   ",
createtimespan,function,Yes,✅,✅,✅,"<cfquery name = ""GetParks"" datasource = ""cfdocexamples"" cachedWithin = ""#createTimespan(0, 6, 0, 0)#""> 
 SELECT PARKNAME, REGION, STATE 
 FROM Parks",
createuniqueid,function,Yes,❌,✅,✅,createUniqueID(),
createuuid,function,Yes,✅,✅,✅,createUUID(),
csrfgeneratetoken,function,Yes,❌,✅,✅,"<form action=""#CGI.SCRIPT_NAME#"" method=""post"">
	<input type=""hidden"" name=""f#hash( 'userId', 'SHA-384', 'UTF-8', 1000 )#"" value=""#encrypt( userObj.g",
csrfverifytoken,function,Yes,❌,✅,✅,"<cfscript>
	param name=""FORM[ 'f' & hash( 'userId', 'SHA-384', 'UTF-8', 1000 )]"" default=""0"";
	param name=""FORM[ 'f' & hash( 'formToken', 'SHA-512',",
ctcacheclear,function,Yes,❌,❌,❌,N/A,N/A
ctcachelist,function,Yes,❌,❌,❌,N/A,N/A
datasourceflushmetacache,function,Yes,❌,❌,❌,N/A,N/A
dateadd,function,Yes,✅,✅,✅,"dateAdd('d', 30, '8/3/2014')",{ts '2014-09-02 00:00:00'}
datecompare,function,Yes,✅,✅,✅,"dateCompare('12/30/2015', '12/02/2015', 'yyyy')",0
dateconvert,function,Yes,✅,✅,✅,"utc_datetime = dateConvert('local2Utc', now());",
datediff,function,Yes,✅,✅,✅,"dateDiff(""d"", ""2013-01-15"", ""2013-01-25"")",10
dateformat,function,Yes,❌,✅,✅,"dateFormat(""2015-04-11"", ""short"")",4/11/15
datepart,function,Yes,✅,❌,❌,"<cfset todayDate = now()>
<h3>datePart Example</h3>
<p>Today's date is <cfoutput>#todayDate#</cfoutput>.
<p>Using datePart, we extract an integer r",
datetimeformat,function,Yes,✅,✅,✅,"dateTimeFormat(""2015-04-11 19:02"", ""short"")",4/11/15 7:02 PM
day,function,Yes,❌,✅,✅,"<cfset Date = CreateDate(2010, 09, 08)>
<cfset result = day(Date)>
<cfoutput>#result#</cfoutput>",8
dayofweek,function,Yes,❌,✅,✅,"<cfset date = createDate(2010, 09, 08)>
<cfset result = dayOfWeek(date)>
<cfoutput>#result#</cfoutput>",4
dayofweekasstring,function,Yes,❌,✅,✅,dayOfWeekAsString(1),Sunday
dayofweekshortasstring,function,Yes,❌,❌,❌,dayOfWeekShortAsString(1),Sun
dayofyear,function,Yes,❌,✅,✅,"<cfset Date = CreateDate(2012, 12, 30)>
<cfset result = dayOfYear(Date)>
<cfoutput>#result#</cfoutput>",365
daysinmonth,function,Yes,❌,✅,✅,"<cfset Date = CreateDate(2012, 12, 30)>
<cfset result = daysInMonth(Date)>
<cfoutput>#result#</cfoutput>",31
daysinyear,function,Yes,❌,✅,✅,"<cfset Date = CreateDate(2023, 06, 18)>
<cfset result = daysInYear(Date)>
<cfoutput>#result#</cfoutput>",365
dbpoolclear,function,Yes,❌,❌,❌, dbPoolClear();,
de,function,Yes,✅,✅,✅,"de(""pete"")","""pete"""
decimalformat,function,Yes,✅,✅,✅,"formattedInt = decimalFormat(123); // 123.00
writeOutput(formattedInt & ""<br>"");

formattedWithSeparators = decimalFormat(1000000); // 1,000,000.00",
decodeforhtml,function,Yes,❌,✅,✅,"<cfif isDefined('form.submit')> 
 <b> 
 Output:<cfoutput >#decodeForHTML(form.encodedUserName)#</cfoutput> 
 </b> 
 <cfelse> 
 <cfset form.userna",
decodefromurl,function,Yes,❌,✅,✅,"<cfset string = 'http://www.adobe.com/'> 
<cfset urlencoded = encodeForURL(string)>
<cfset urldecoded = decodeFromURL(urlEncoded)>
 <cfoutput>
Str",
decrementvalue,function,Yes,✅,✅,✅,decrementValue(7),6
decrypt,function,Yes,✅,✅,✅,"ex={};
ex.key = generateSecretKey(""AES"");
ex.secret = ""top secret"";
ex.encrypted=encrypt(ex.secret, ex.key, ""AES"", ""Base64"");
ex.decrypted=decrypt(ex.",
decryptbinary,function,Yes,❌,❌,❌,N/A,N/A
deleteclientvariable,function,Yes,❌,❌,❌,N/A,N/A
deserializejson,function,Yes,❌,✅,✅,"person = deserializeJSON( '{""company"":""Foundeo"",""name"":""Pete Freitag""}' );
writeOutput( person.company );",Foundeo
directorycopy,function,Yes,✅,❌,❌,"directoryCopy(expandPath(""./mySourceDirectory""),expandPath(""../MyDestinationDirectory""))",
directorycreate,function,Yes,✅,✅,✅,"if (!directoryExists(expandPath('/assets/img/icons'))) {
	directoryCreate('assets/img/icons');
}",The directory 'icons' will be created under the img folder.
directorydelete,function,Yes,✅,✅,✅,"<cfset delDirectory = ""someDirPath"" />
<cfset recurse = true />
<cfset directoryDelete(delDirectory,recurse)>",
directoryexists,function,Yes,✅,✅,✅,"if (!directoryExists(expandPath('/assets/img/icons'))) {
	directoryCreate('assets/img/icons');
}",The directory 'icons' will be created under the img folder.
directorylist,function,Yes,✅,✅,✅,"arrayOfLocalFiles = directoryList( expandPath( ""./"" ), false, ""name"" );",
directoryrename,function,Yes,❌,❌,❌,"<cfset renameDirectory = ""someDirPath"" />
<cfset rename = ""newName"" />
<cfset directoryRename(renameDirectory,newName)>",
dollarformat,function,Yes,❌,✅,✅,dollarFormat(1236598.2),"$1,236,598.20"
duplicate,function,Yes,✅,✅,✅,"myStruct = {'foo': 'Lorem ipsum', 'bar': 'baz'};

myNewStruct = myStruct;
myOtherNewStruct = duplicate(myStruct);

myNewStruct.foo = 'ahmet sun';
myOt",ahmet sun → ahmet sun → dolor sit
each,function,Yes,❌,✅,✅,"coll = [{
    id: 0,
    name: 'me'
},{
    id: 1,
    name: 'you'
}];
function outputCollection(item) {
    writeOutput(item.name);
    writ",me - you -
echo,function,Yes,❌,❌,❌,"echo(""hello world"");",hello world
empty,function,Yes,❌,❌,❌,"<cfoutput>
	<cfset Language = ""Coldfusion"">
	#empty(Language)#
	<cfset MyInput = """">
	#empty(MyInput)#
</cfoutput>","false,true"
encodeforcss,function,Yes,❌,✅,✅,"<cfif not isDefined ('form.bgcolor')> 
 <cfset form.bgcolor = 'red'> 
 </cfif> 
 <cfoutput> 
 <style> 
 .myDiv 
 { 
 background-color : #encode",
encodefordn,function,Yes,❌,❌,❌,"encodeForDN(""x,y"")","x\,y"
encodeforhtml,function,Yes,✅,✅,✅,"encodeForHTML(""<test>"")",&lt;test&gt;
encodeforhtmlattribute,function,Yes,❌,✅,✅,"<cfoutput><div title=""#encodeForHTMLAttribute(""<test>"")#""></cfoutput>","<div title=""&lt;test&gt;"">"
encodeforjavascript,function,Yes,❌,✅,✅,"encodeForJavaScript(""foo()"")",foo\x28\x29
encodeforldap,function,Yes,❌,❌,❌,"encodeForLDAP(""pete) (| (password = * ) )"")",pete\29 \28| \28password = \2a \29 \29
encodeforurl,function,Yes,❌,✅,✅,"encodeForURL(""<tag>"")",%3Ctag%3E
encodeforxml,function,Yes,❌,✅,✅,"encodeForXML(""Fred & Ted"")",Fred &#x26; Ted
encodeforxmlattribute,function,Yes,❌,✅,✅,"encodeForXMLAttribute(""It's for use in attribute values"")",It&#x27;s for use in attribute values
encodeforxpath,function,Yes,❌,❌,❌,"encodeForXPath(""'or 1=1"",false)",&#x27;or 1&#x3d;1
encrypt,function,Yes,✅,✅,✅,"encrypt(""top secret"", ""WTq8zYcZfaWVvMncigHqwQ=="", ""AES"", ""Base64"")",keciULin7bxOWvN/BOarWw==
encryptbinary,function,Yes,❌,❌,❌,N/A,N/A
entitydelete,function,Yes,❌,❌,❌,"user = entityLoadByPK(""User"", userID);
entityDelete(user);",
entityload,function,Yes,❌,❌,❌,"entityLoad(""Employee"", url.employee_id)",An Employee CFC Instance
entityloadbyexample,function,Yes,❌,❌,❌,"<cfset employee= createObject(""component"", ""employee"")>
<cfset employee.setDepartment(""ColdFusion"")>
<cfset employee.setCountry(""USA"")>
<cfset empl",
entityloadbypk,function,Yes,❌,❌,❌,"user = entityLoadByPK(""User"", userID);",
entitymerge,function,Yes,❌,❌,❌,N/A,N/A
entitynamearray,function,Yes,❌,❌,❌,dump(entityNameArray());,
entitynamelist,function,Yes,❌,❌,❌,entityNameList(),
entitynew,function,Yes,❌,❌,❌,"var employee = entityNew(""Employee"");",
entityreload,function,Yes,❌,❌,❌,N/A,N/A
entitysave,function,Yes,❌,❌,❌,"var company = entityNew(""Company"");
company.setName(form.companyName);
company.setIndustry(form.industry);
company.setEmployees(form.employeeCount);
c",
entitytoquery,function,Yes,❌,❌,❌,N/A,N/A
esapidecode,function,Yes,❌,❌,❌,N/A,N/A
esapiencode,function,Yes,❌,❌,❌,N/A,N/A
evaluate,function,Yes,❌,❌,❌,"<!--- Evaluate the expression ---> 
 <cfset first = ""ColdFusion""> 
 <cfset second = ""ColdFusion""> 
 <cfset op = ""eq""> 
 <cfoutput>#evaluate(""first",YES
exp,function,Yes,✅,✅,✅,exp(1.13140211149),3.099999999997
expandpath,function,Yes,✅,✅,✅,"expandPath(""./"")",
extensionexists,function,Yes,❌,❌,❌,"dump(extensionExists(""99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6""));",
extensionlist,function,Yes,❌,❌,❌,dump(extensionList());,
extract,function,Yes,✅,❌,❌,"extract(""zip"", ""test.zip"", ""output-directory"")",
fileappend,function,Yes,✅,✅,✅,"// Create mock log entry
logEntry = dateTimeFormat(now(), ""yyyy/mm/dd HH:nn"") & "" this is a mock log entry!"";

// Append line to file
fileAppend(""",
fileclose,function,Yes,✅,❌,❌,"// Open File
var fileObject = fileOpen(""/path/to/file.txt"");

// Perform Actions
try
{
	// Read Line
	writeOutput(fileReadLine(fileObject));
}

// Err",
filecopy,function,Yes,✅,✅,✅,"fileCopy(sourceFile, destinationFile);",
filedelete,function,Yes,✅,✅,✅,"var existingFiles = directoryList(expandPath(""/archive/""), false, ""query"");
for (file in existingFiles) {
	if (dateDiff(""h"", file.datelastmodified, no",All files within the archive directory older than one hour will be deleted.
fileexists,function,Yes,✅,✅,✅,"var myFile = ""/path/to/the/file.jpg"";
if(fileExists(expandPath(myFile))) {
	writeOutput(myFile & 'exists!');
}",
filegetmimetype,function,Yes,✅,❌,❌,"<cfscript>
	mimeTypes = '';
	mimeTypes = listAppend(mimeTypes, fileGetMimeType(expandPath('/folder1/test.pdf')));
	mimeTypes = listAppend(mimeTypes, f","application/pdf,application/pdf,text/plain,text/plain"
fileiseof,function,Yes,✅,❌,❌,"fileObj = fileOpen(expandPath('./file.txt');
isEndOfFile = fileIsEOF(fileObj);",
filemove,function,Yes,✅,✅,✅,"fileMove(sourcefile, destinationfile);",
fileopen,function,Yes,✅,❌,❌,"// Open File
var fileObject = fileOpen(""/path/to/file.txt"");

// Perform Actions
try
{
	// Read Line
	writeOutput(fileReadLine(fileObject));
}

// Err",
fileread,function,Yes,✅,✅,✅,"fileContent = fileRead(expandPath(""./file.txt""), ""utf-8"")",
filereadbinary,function,Yes,❌,❌,❌,binaryContent = fileReadBinary(expandPath('./file.pdf'));,
filereadline,function,Yes,✅,❌,❌,"// Open File
var fileObject = fileOpen(""/path/to/file.txt"");

// Perform Actions
try
{
	// Read Line
	writeOutput(fileReadLine(fileObject));
}

// Err",
fileseek,function,Yes,✅,❌,❌,"<cfscript> 
 NewFile = fileOpen(expandPath(""."") & ""	est.txt"",""write"","""",true); 
             fileSeek(#NewFile#,0);  
 </cfscript>   ",
filesetaccessmode,function,Yes,✅,❌,❌,"<cfscript> 
 fileSetAccessMode(""test1.txt"", ""004""); 
 </cfscript>   ",
filesetattribute,function,Yes,✅,❌,❌,"myFile = getTempFile(getTempDirectory(),""testFile"");
writeOutput('is writable: '&getFileInfo(myFile).canWrite);
fileSetAttribute(myFile,'readOnly');
w",is writable: YES → NO
filesetlastmodified,function,Yes,✅,❌,❌,"<cfscript> 
 fileSetLastModified(""c:	emp	est1.txt"", ""#now()#""); 
    writeOutput(#getFileInfo(""c:	emp	est1.txt"").lastmodified#); 
 </cfscript>  ",
fileskipbytes,function,Yes,❌,❌,❌,"<cfscript> 
 NewFile = fileOpen(expandPath(""."") & ""	est.txt"",""write"","""",true); 
             fileSeek(#NewFile#,5);  
 </cfscript>   ",
fileupload,function,Yes,❌,❌,❌,"<form method=""post"" enctype=""multipart/form-data"">
  <input type=""file"" name=""fileInput"">
  <button type=""submit"">Upload</button>
</form>

<cfscr",
fileuploadall,function,Yes,❌,❌,❌,N/A,N/A
filewrite,function,Yes,✅,✅,✅,"fileWrite( getTempFile( getTempDirectory(), ""tempFile""), ""My Data"" );",
filewriteline,function,Yes,✅,❌,❌,"myfile = fileOpen(""c:\temp\test1.txt"", ""write""); 
fileWriteLine(myfile,""This line is new.""); 
fileClose(myfile);",
find,function,Yes,✅,✅,✅,"find(""apple"", ""An apple a day keeps the doctor away."")",4
findnocase,function,Yes,❌,✅,✅,"findNoCase(""s"", ""cfdocs.org"", 0)",6
findoneof,function,Yes,✅,✅,✅,"string_to_search = 'The rain in Spain falls mainly in the plains.';
writeOutput( findOneOf('in', string_to_search) );",7
firstdayofmonth,function,Yes,❌,✅,✅,"<cfset Date = CreateDate(2012, 12, 12)>
<cfset result = firstDayOfMonth(Date)>
<cfoutput>#result#</cfoutput>",336
fix,function,Yes,✅,✅,✅,fix(1.8),1
floor,function,Yes,✅,✅,✅,floor(4.0),4
formatbasen,function,Yes,✅,✅,✅,"formatBaseN(10,2)",1010
generateargon2hash,function,Yes,❌,❌,❌,"hashedValue = GenerateArgon2Hash(""CFDocs.org"");
dump(hashedValue);
check = Argon2CheckHash( ""CFDocs.org"", hashedValue);
dump(check);",
generatepbkdfkey,function,Yes,✅,✅,✅,"generatePBKDFKey(""PBKDF2WithHmacSHA1"", ""secret"", ""salty"", 5000, 128)",Y0MCpCe3zb0CNJvyXNUWEQ==
generatesecretkey,function,Yes,✅,✅,✅,"ex={};
ex.key = generateSecretKey(""AES"");
ex.secret = ""top secret"";
ex.encrypted=encrypt(ex.secret, ex.key, ""AES"", ""Base64"");
ex.decrypted=decrypt(ex.",
getapplicationmetadata,function,Yes,✅,✅,✅,"// Fetch application meta data
data = getApplicationMetadata();

// Print application name
writeOutput(""Application name is "" & (data.name.length(",
getapplicationsettings,function,Yes,❌,❌,❌,N/A,N/A
getauthuser,function,Yes,❌,❌,❌,N/A,N/A
getbasetagdata,function,Yes,✅,❌,❌,"<cfset tagData = getBaseTagData('CF_MAPPER')>
<!--- Find the tag's execution mode Located inside the --->
<cfif tagData.thisTag.executionMode neq 'i",
getbasetaglist,function,Yes,✅,❌,❌,N/A,N/A
getbasetemplatepath,function,Yes,✅,❌,❌,getBaseTemplatePath(),
getbuiltinfunction,function,Yes,❌,❌,❌,"dump(getBuiltinFunction(""StructKeyExists""));",
getcanonicalpath,function,Yes,✅,✅,✅,writeOutput( getCanonicalPath(getBaseTemplatePath()) );,
getclasspath,function,Yes,❌,❌,❌, writeDump(getClassPath());,
getclientvariableslist,function,Yes,❌,❌,❌,N/A,N/A
getcomponentmetadata,function,Yes,❌,✅,✅,N/A,N/A
getcontextroot,function,Yes,✅,❌,❌,N/A,N/A
getcpuusage,function,Yes,❌,❌,❌,getCpuUsage(),
getcurrentcontext,function,Yes,❌,❌,❌,writeDump(getCurrentContext());,
getcurrenttemplatepath,function,Yes,✅,✅,✅,getCurrentTemplatePath(),
getdirectoryfrompath,function,Yes,✅,✅,✅,"getDirectoryFromPath(""C:\temp\file.txt"")",C:\temp\
getencoding,function,Yes,❌,❌,❌,N/A,N/A
getfilefrompath,function,Yes,✅,✅,✅,"getFileFromPath(""C:\temp\file.txt"")",file.txt
getfileinfo,function,Yes,❌,✅,✅,"myFile = getTempFile(getTempDirectory(),""testFile"");
fileInfo = getFileInfo(myFile);
isReadable = (not fileInfo.canRead ? 'un' : '')&'readable';
isWri","""testFile9217639658547923751.tmp"" is readable, writable and not hidden. It was at last modified at F"
getfreespace,function,Yes,❌,❌,❌,"<cfcomponent> 
 <cfset this.name = 'vfs_total_space'> 
 <cfset this.inmemoryfilesystem.size = 30> 
 </cfcomponent> 
",
getfunctioncalledname,function,Yes,✅,✅,✅,"void function actualFunctionName(){
    writeOutput(""actualFunctionName() was called as: #getFunctionCalledName()#<br>"");
}
writeOutput(""<hr><h4>Calli",
getfunctiondata,function,Yes,❌,❌,❌,getFunctionData('writeDump'),
getfunctionkeywords,function,Yes,❌,❌,❌,writeDump(getFunctionKeywords());,
getfunctionlist,function,Yes,✅,❌,❌,"getFunctionList().keyExists(""reMatch"")",YES
gethttprequestdata,function,Yes,❌,❌,❌, writeDump(GetHttpRequestData());,
gethttptimestring,function,Yes,❌,✅,✅,"getHTTPTimeString(""2017/8/8 14:12:10"")","Tue, 08 Aug 2017 14:12:10 GMT"
getk2serverdoccount,function,Yes,❌,❌,❌,N/A,N/A
getk2serverdoccountlimit,function,Yes,❌,❌,❌,N/A,N/A
getlocale,function,Yes,✅,✅,✅,"writeOutput(getlocale());
writeOutput(' → ');
setLocale('de_ch');
writeOutput(getlocale());",english (us) → german (swiss)
getlocalecountry,function,Yes,❌,❌,❌,"writeOutput(getLocaleCountry());
writeOutput(' → ');
setLocale('de_ch');
writeOutput(getLocaleCountry());",
getlocaledisplayname,function,Yes,✅,❌,❌,"writeOutput(getLocaleDisplayName());
writeOutput(' → ');
setLocale('de_ch');
writeOutput(getLocaleDisplayName());",English (United States) → Deutsch (Schweiz)
getlocaleinfo,function,Yes,✅,❌,❌,getLocaleInfo(),
getlocalelanguage,function,Yes,❌,❌,❌,"writeOutput(getLocaleLanguage());
writeOutput(' → ');
setLocale('de_ch');
writeOutput(getLocaleLanguage());",
getlocalhostip,function,Yes,✅,❌,❌,writeOutput(getLocalhostIP());,
getluceeid,function,Yes,❌,❌,❌,dump( getLuceeID() ),
getmemoryusage,function,Yes,❌,❌,❌,writeDump(getMemoryUsage());,
getmetadata,function,Yes,✅,✅,✅,writeDump(getMetadata(new Query()));,
getmetricdata,function,Yes,❌,❌,❌,N/A,N/A
getnumericdate,function,Yes,❌,✅,✅,getNumericDate('2018-01-01'),43101
getpagecontext,function,Yes,❌,✅,✅,N/A,N/A
getprinterlist,function,Yes,❌,❌,❌,getPrinterList();,
getprofilesections,function,Yes,❌,✅,✅,N/A,N/A
getprofilestring,function,Yes,❌,✅,✅,"<cfset IniPath = ""c:\myboot.ini""> 
 <cfset Section = ""boot loader""> 
 <cfset timeout = getProfileString(IniPath, Section, ""timeout"")>    ",
getreadableimageformats,function,Yes,❌,❌,❌,"lCase(listChangeDelims(getReadableImageFormats(),"", ""))",
getsoaprequest,function,Yes,❌,❌,❌,"soapURL = ""https://graphical.weather.gov/xml/SOAP_server/ndfdXMLserver.php?wsdl"";
ws = createObject(""webservice"", soapURL);
zipLatLong = ws.LatLonList",
getsoaprequestheader,function,Yes,❌,❌,❌,N/A,N/A
getsoapresponse,function,Yes,❌,❌,❌,"soapURL = ""https://graphical.weather.gov/xml/SOAP_server/ndfdXMLserver.php?wsdl"";
ws = createObject(""webservice"", soapURL);
zipLatLong = ws.LatLonList",
getsoapresponseheader,function,Yes,❌,❌,❌,N/A,N/A
getsystemfreememory,function,Yes,❌,❌,❌,"#NumberFormat(getSystemFreeMemory() / 1000 / 1000,""0.00"")# MB",
getsystemtotalmemory,function,Yes,❌,❌,❌,"#NumberFormat(getSystemTotalMemory() / 1000 / 1000,""0.00"")# MB",
gettagdata,function,Yes,❌,❌,❌,"getTagData('cf','mail')",
gettaglist,function,Yes,❌,❌,❌,"list = gettagList();
writeDump(list);",
gettempdirectory,function,Yes,✅,✅,✅,getTempDirectory(),
gettempfile,function,Yes,❌,✅,✅,"getTempFile(getTempDirectory(),""testFile"")",
gettemplatepath,function,Yes,❌,❌,❌,getTemplatePath(),
gettickcount,function,Yes,✅,✅,✅,writeOutput( getTickCount() ),
gettimezone,function,Yes,❌,❌,❌,"setTimeZone(""Etc/UTC"");
writeOutput(getTimeZone().timezone);",Etc/UTC
gettimezoneinfo,function,Yes,✅,❌,❌,"<cfoutput>
The local date and time are #now()#.
</cfoutput>
<cfset info = GetTimeZoneInfo()>
<cfoutput>
<p>Total offset in seconds is #info.utcTo",
gettoken,function,Yes,✅,✅,✅,"<cfoutput>
<cfset mystring = ""four,"" & #chr(32)# & #chr(9)# & #chr(10)# & "",five, nine,zero:;"" & #chr(10)# & ""nine,ten:, eleven:;twelve:;thirteen,"" & ",
gettotalspace,function,Yes,❌,❌,❌,"<cfset totalRMSSpace = getTotalSpace('ram')>
<cfoutput>total app ram memory: #decimalFormat(totalRamSpace)/(1024 * 1024)# mb</cfoutput>",
getuserroles,function,Yes,❌,❌,❌,N/A,N/A
getvariable,function,Yes,❌,❌,❌,"a=1;
writeOutput(getVariable('a'));",1
getvfsmetadata,function,Yes,❌,❌,❌,N/A,N/A
getwriteableimageformats,function,Yes,❌,❌,❌,N/A,N/A
hash,function,Yes,✅,✅,✅,"hash(""something"", ""SHA-256"", ""UTF-8"")",3FC9B689459D738F8C88A3A48AA9E33542016B7A4052E001AAA536FCA74813CB
hash40,function,Yes,❌,❌,❌,N/A,N/A
hmac,function,Yes,✅,✅,✅,"hmac(""msg"", ""secret"", ""HMACSHA256"")",FE4F9C418F683F034F6AF90D1DD5B86AC0355DD96332C59CC74598D0736107F6
hour,function,Yes,❌,✅,✅,"dt = createdatetime(2016,1,1,5,30,25);
h = hour( dt );
writeoutput( h );",5
htmlcodeformat,function,Yes,❌,❌,❌,"<cfset testString=""This is a test & this is another <This text is in angle brackets> Previous line was blank!!!"">   <cfoutput>#htmlCodeFormat(testStri",
htmleditformat,function,Yes,❌,✅,✅,"htmlEditFormat( ""This is a test & this is another <This text is in angle brackets> Previous line was blank!!!"" )",This is a test &amp; this is another &lt;This text is in angle brackets&gt; Previous line was blank!
